Hole,Par,Avg Yardage,Min Yardage,Max Yardage,Avg Score,Birdie+ %,Bogey+ %
1,4.0,445.9,405,562,4.321,14.9,24.0
2,4.0,373.6,167,433,4.091,9.5,32.6
3,3.0,371.6,178,434,3.923,13.9,22.5
4,4.0,398.9,170,559,4.179,12.6,27.1
5,4.0,446.4,406,560,4.242,20.7,21.0
6,4.0,276.4,165,427,3.518,15.8,25.0
7,4.0,372.9,166,434,4.018,9.8,27.4
8,3.0,374.9,166,564,4.04,22.9,24.7
9,5.0,349.7,169,553,3.969,12.7,25.8
10,4.0,446.9,405,561,4.353,13.8,24.5
11,3.0,278.1,169,435,3.605,10.2,27.4
12,4.0,445.9,409,551,4.404,12.5,29.0
13,5.0,398.4,166,553,4.144,14.9,25.2
14,4.0,470.4,408,561,4.487,15.4,22.4
15,4.0,323.5,166,433,3.841,10.6,30.6
16,3.0,277.7,166,434,3.639,7.8,28.8
17,4.0,370.8,165,435,3.909,15.6,24.8
18,5.0,446.1,406,565,4.286,17.7,23.8
