Player,Hole,Round,Market,DraftKings Odds,Caesars Odds,FanDuel Odds
Daniel Berger,10,3,Birdie+,+495,-,-
Daniel Berger,10,3,Par,-240,-,-
Daniel Berger,10,3,Bogey+,+360,-,-
Daniel Berger,11,3,Birdie+,+260,-,-
Daniel Berger,11,3,Par,-225,-,-
Daniel Berger,11,3,Bogey+,+700,-,-
Daniel Berger,12,3,Birdie+,+370,-,-
Daniel Berger,12,3,Par,-190,-,-
Daniel Berger,12,3,Bogey+,+335,-,-
Jhonattan Vegas,10,3,Birdie+,+560,-,-
Jhonattan Vegas,10,3,Par,-205,-,-
Jhonattan Vegas,10,3,Bogey+,+265,-,-
Jhonattan Vegas,11,3,Birdie+,+300,-,-
Jhonattan Vegas,11,3,Par,-215,-,-
Jhonattan Vegas,11,3,Bogey+,+520,-,-
Jhonattan Vegas,12,3,Birdie+,+425,-,-
Jhonattan Vegas,12,3,Par,-166,-,-
Jhonattan Vegas,12,3,Bogey+,+250,-,-
